Rank,Hospital,Country
7748,Medical Trust Hospital,India
7830,Gauhati Medical College and Hospital,India
7860,K.L.E.S Hospital and Medical Research Centre,India
7938,Rockland Hospital,India
7945,Mvj Medical College & Research Hospital,India
8006,Amala Institute of Medical Sciences,India
8077,Kidwai Memorial Institute of Oncology,India
8134,Sterling Hospitals,India
8287,Emmanuel Hospitals Association,India
8355,Sri Jayadeva Institute of Cardiology,India
8374,Aditya Birla Memorial Hospital,India
8433,Rajan Eye Care Hospital,India
8647,Ideal Fertility Center,India
8775,Sibia Medical Centre,India
8950,Nm Medical,India
8955,Chaithanya Eye Hospital and Research Institute,India
9000,Kamineni Hospitals,India
9057,Hande Hospital,India
9080,Aditya Jyot Eye Hospital,India
9130,Lakeshore Hospital,India
9174,Kenia Eye Hospital,India
9241,Dr U Mohan Rau Memorial Hospital,India
9253,Cancer Centre Welfare Home & Research Institute Thakurpukur,India
9296,Alshifa Hospital Pvt Ltd.,India
9389,Eye Foundation,India
9389,G Kuppuswamy Naidu Memorial Hospital Gknm Hospital,India
9479,Kothari Medical Centre Calcuta,India
9520,Lifeline Super Specialty Hospital and Infertility Clinic,India
9585,Apollo Clinic Group,India
9677,Patel Hospital,India
9694,G.G Hospital Chennai Dr Kamalaselvaraj Obstetrician & Gynecologist,India
9745,Visitech Eye Centre,India
9759,Privat Hospital Dr Sachdev,India
9846,Choithram Hospital & Research Centre,India
9942,Icare Eye Hospital,India
9950,Cancer Institute (WIA),India
10010,Prabha Eye Clinic and Research Center,India
10044,Indus Hospital Shimla,India
10210,National Heart Institute,India
10246,Kkr Ent Hospital and Research Institute,India
10335,Moulana Hospital,India
10373,Specialists‰Ûª Hospital,India
10409,Dr Raja‰ÛªS Urology & Andrology Centre,India
10499,Diabetes & Thyroid Center,India
10590,Lourdes Hospital In Ernakulam District of Kerala State,India
10630,Little Flower Hospital & Research Center,India
10753,Gwalior Children's Hospital Charity,India
10781,IVF Clinic Department of Assisted Reproduction and Genetics Jaslok Hospital and Research Centre,India
10814,A.J Hospital & Research Centre,India
10829,Vivus Group Vivus Heart Centre,India
10832,Divya Prabha Eye Hospital,India
10857,Billroth Hospitals,India
10893,Apollo Clinic Thane,India
10942,Daradia Pain Clinic,India
11002,Sahara Hospital,India
11075,Bhagirathi Neotia Woman & Child Care Centre,India
11103,Chennai Meenakshi Multispeciality Hospital Devaki Hospital,India
11124,Mallya Hospital,India
11174,U N Mehta Institute of Cardiology & Research Center,India
11280,Women's Center India,India
11280,Jawaharlal Nehru Cancer Hospital & Research Centre,India
11362,Shroff Eye Centre New Delhi,India
11452,Sri Ramakrishna Hospital,India
11497,Bhailal Amin General Hospital,India
11506,Priyamvada Birla Aravind Eye Hospital Kolkata,India
11590,Gautham Hospital,India
11646,Malabar Institute of Medical Sciences Ltd.,India
11651,M.M Eyetech Institute of Ophthalmology,India
11918,Laksh Deep Hospital,India
11964,Bombay Fertility Clinic & Ivf Center,India
3858,Rumah Sakit Mitra Keluarga Group,Indonesia 
4005,Siloam Hospitals Group,Indonesia 
4069,Rumah Sakit Dr Oen Surakarta,Indonesia 
4486,Bali International Medical Centre Hospital,Indonesia 
5471,Rumah Sakit Bunda Jakarta Hospital,Indonesia 
6099,Rumah Sakit Pondok Indah,Indonesia 
7541,Rumah Sakit Islam Jakarta,Indonesia 
8612,Dharmais Cancer Hospital,Indonesia 
8781,Rumah Sakit Panti Rapih,Indonesia 
9035,Medistra Hospital,Indonesia 
9140,Rumah Sakit Panti Wilasa Citarum,Indonesia 
9277,Rumah Sakit Pelni Petamburan,Indonesia 
9432,Pertamedika (Rumah Sakit Pusat Pertamina),Indonesia 
9868,Yakarta Eye Center,Indonesia 
10040,Kasih Ibu Hospital,Indonesia 
10210,Rumah Sakit Adi Husada,Indonesia 
10465,International Sos Medical Clinic Bali & Evacuations,Indonesia 
10605,Pantai Indah Kapuk Hospital Rumah Sakit Pantai Indah Kapuk,Indonesia 
10728,Surya Husadha General Hospital,Indonesia 
11461,Ramsay Healthcare Indonesia,Indonesia 
11607,Rumah Sakit Pluit Hospital,Indonesia 
11659,Rumah Sakit Husada Hospital,Indonesia 
11688,Rumah Sakit Katolik St Vincentius a Paulo Surabaya,Indonesia 
11715,Pelayanan Kesehatan St Carolus,Indonesia 
11875,Prima Medika Hospital,Indonesia 
729,"Rajaei Cardiovascular, Medical & Research Center",Iran
755,Babol University Hospitals,Iran
1342,Royan Institute Research and Clinical Center for Infertility and Reproductive Health,Iran
1851,Avicenna Research Institute,Iran
2314,Erfan Hospital,Iran
2444,Tehran Heart Center,Iran
2686,Noor Eye Hospital,Iran
4550,Fars Health Center,Iran
4563,Milad Hospital,Iran
5638,Digestive Disease Research Center Shariati Hospital In Tehran,Iran
5653,Khatam Hospital,Iran
6130,Alzahra University Hospital,Iran
6892,Farabi Hospital,Iran
7059,Health Center of Tehran Uviversity,Iran
8585,Hasheminejad Kidney Center,Iran
9229,Hematology Oncology and BMT Research Center,Iran
9341,Jam Hospital,Iran
9400,Day General Hospital,Iran
9400,Shariati Hospital,Iran
9700,Shiraz University of Medical Sciences Hospitals,Iran
9856,Center for Research & Training in Skin Diseases & Leprosy,Iran
9858,Nour & Ali Asghar University Hospital,Iran
10476,Shiraz Health Center,Iran
10753,Kerman Neuroscience Research Center,Iran
11217,Azadi Psychiatric Hospital,Iran
11381,Tehran Clinic Hospital,Iran
11466,Department & Research Center of Otolaryngology and Head & Neck Surgery Hazrat Rasoul Akram Medical Complex,Iran
103,Tel Aviv Sourasky Medical Center,Israel
120,Clalit Health Services,Israel
229,Hadassah Medical Organization,Israel
575,Sheba Medical Center,Israel
1240,Assuta Medical Centers Assuta Hospital,Israel
1407,Rambam Health Care Campus,Israel
1538,Assaf Harofeh Medical Center Tel Aviv University Sackler Faculty of Medicine,Israel
1583,Schneider Children's Medical Center of Israel,Israel
2131,Barzilai Medical Center,Israel
2320,Edith Wolfson Medical Center,Israel
2545,Herzog Hospital Jerusalem,Israel
2664,Hille Yaffe Medical Center,Israel
2693,Medical Center 'Ziv' Safed,Israel
2773,Bnai Zion Medical Center,Israel
3986,Western Galilee Hospital Nahariya,Israel
4579,Shaare Zedek Medical Center,Israel
5033,Herzliya Medical Centers,Israel
5391,Laniado Hospital Sanz Medical Center,Israel
5444,Sun Medical Company Ltd.,Israel
5953,Ivf Clinic Israel,Israel
6985,Alyn Pediatric Hospital,Israel
7823,Ramat Aviv Medical Center,Israel
8555,Ma'Ayanei Hayeshua Medical Center,Israel
8925,Lev Hasharon Hospital,Israel
8934,Heart Institute The Chaim Sheba Medical Center,Israel
9554,Augusta Victoria Hospital,Israel
10555,Bikur Cholim Partners in Health,Israel
10661,Atidim Medical Center,Israel
10766,Horev Medical Center,Israel
10920,Nazareth Hospital Emms,Israel
10994,Herzliya Medical Center,Israel
11416,Nara Medical Center,Israel
43,National Hospital Organization,Japan
136,National Cancer Center Hospital,Japan
155,Beppu National Rehabilitation Center for Persons with Severe Disabilities,Japan
183,Kyoto University Hospital,Japan
201,National Center of Neurology and Psychiatry,Japan
278,Dokkyo Medical University Hospital,Japan
401,Japan Hospital Association,Japan
424,"National Center for Child Health and Development National Children's Medical Center
Research Institute",Japan
453,Institute of Medical Science University of Tokyo,Japan
468,National Cardiovascular Center,Japan
525,University of Tokyo Hospital,Japan
562,Aizawa Hospital,Japan
625,University Hospital Kumamoto University,Japan
739,IMS Medical System,Japan
788,International Medical Center of Japan,Japan
865,Hospital University of The Ryukyus,Japan
896,Kaiho Hospital Urasoe Kaiho Hospital,Japan
959,Osaka Prefectural Hospital Organization,Japan
959,Sendai National Hospital,Japan
1022,Nagasaki University Hospital of Medicine and Dentistry,Japan
1063,Osaka National Hospital,Japan
1068,Tokushima Red Cross Hospital,Japan
1102,Japanese Red Cross Medical Center,Japan
1108,Osaka University Medical Hospital,Japan
1213,Shizuoka Cancer Center Research Institute,Japan
1273,Osaka Medical Center for Cancer and Cardiovascular Diseases,Japan
1299,Takeda Hospital Group,Japan
1340,Kameda Medical Center,Japan
1391,Chiba University Hospital,Japan
1432,Tohoku University Hospital,Japan
1437,Southern Tohoku Research Institute for Neuroscience Southern Tohoku General Hospital,Japan
1444,Tokyo Medical University Hospital,Japan
1480,Hokkaido University Hospital,Japan
1569,TMG Toda Medical Group,Japan
1628,Shonankamakura General Hospital,Japan
1632,Keijinkai Group,Japan
1659,National Hospital Organization Tokyo Medical Center,Japan
1713,Osaka Police Hospital,Japan
1739,Kobe University Hospital,Japan
1750,Kitano Hospital Aiming,Japan
1766,Rakuwakai Healthcare System,Japan
1820,Toranomon Hospital,Japan
1844,Aso Iizuka Hospital,Japan
1854,Tokushima University Hospital,Japan
1893,Tottori University Hospital,Japan
1898,Osaka Rosai Hospital,Japan
1907,Tenjinkai Hospital Tenzin Meeting Koga Hospital,Japan
1945,Nagoya Daini Red Cross Hospital,Japan
2022,Shizuoka Prefectural Hospital Organization,Japan
2075,Nippon Medical College Attachment Hospital,Japan
2089,National Hospital Organization Nagoya Medical Center,Japan
2108,Shinshu University Hospital,Japan
2113,Kyushu Medical Center National Hospital Organization,Japan
2220,Kurume University Hospital,Japan
2244,Niigata University Medical & Dental Hospital,Japan
2261,Kawakita General Hospital,Japan
2305,St Luke's International Hospital,Japan
2326,Medical Corp Jojinkai,Japan
2337,Okayama Saiseikai General Hospital,Japan
2341,Osaka Red Cross Hospital,Japan
2345,Fukuoka University Hospital,Japan
2365,Fukuyama Medical Center National Hospital Organization,Japan
2369,Gifu University Hospital,Japan
2369,Kanazawa University Hospital,Japan
2418,Yokohama City Minato Red Cross Hospital,Japan
2420,Matsunami General Hospital,Japan
2423,Sanno Hospital,Japan
2451,Asahi General Hospital Chiba,Japan
2452,Mitsui Memorial Hospital,Japan
2460,Akita University Hospital,Japan
2463,Yokohama Rosai Hospital,Japan
2477,Ohta General Hospital,Japan
2504,Kobe City General Hospital,Japan
2519,National Hospital Organization Hokkaido Cancer Center,Japan
2530,Shikoku Cancer Center,Japan
2533,Rinku General Medical Center Izumisano Municipal Hospital,Japan
2583,Tsukuba University Hospital,Japan
2606,Kansai Rosai Hospital,Japan
2621,Tokyo Saiseikai Central Hospital,Japan
2632,Hiroshima Red Cross Hospital & Atomic Bomb Survivors Hospital,Japan
2634,Hiroshima City Hospital,Japan
2641,Toyota Memorial Hospital,Japan
2650,Japan Labour Health and Welfare Organization Kanto Rosai Hospital,Japan
2661,Nagoya City University Hospital,Japan
2678,Hachinoe City Hospital,Japan
2678,Uji Tuokushukai Hospital,Japan
2697,Edogawa Hospital,Japan
2700,Nakatsu Saiseikai Hospital,Japan
2704,Ehime University Hospital,Japan
2746,Tsukuba Gakuen Hospital,Japan
2747,Kyoto First Red Cross Hospital,Japan
2750,Osaka Medical Center and Research Institute for Maternal and Child Health,Japan
2773,Yamanashi Prefectural Central Hospital,Japan
2777,Toyonaka Municipal Hospital,Japan
2782,Toda Chuo General Hospital,Japan
2793,Akashi Tsuchiyama Hospital,Japan
2796,Otsu Municipal Hospital,Japan
2843,Hospital Hakodate Hokkaido,Japan
2845,Tsukuba Medical Center Hospital,Japan
2867,Toyohashi Municipal Hospital,Japan
2869,Kanazawa Medical Center National Hospital Organization,Japan
2874,Kanto Central Hospital,Japan
2884,Tokyo Metropolitan Komagome Hospital,Japan
2884,Nishi Niigata Chuo National Hospital,Japan
2936,Kanazawa Medical Association,Japan
2936,Takeda General Hospital,Japan
2950,Osaka Kosei Nennkin Hospital,Japan
2954,Fukui General Hospital,Japan
2960,Shizuoka Red Cross Hospital,Japan
2976,Yamaguchi University Hospital,Japan
2983,Japanese Red Cross Kumamoto Hospital,Japan
3017,Saiseikai Kumamoto Hospital,Japan
3026,Kitakyushu Hospital Group,Japan
3026,Nagano Municipal Hospital,Japan
3032,Fukushima Medical Center Jinsenkai Medical Foundation,Japan
3048,Sasebo Central Hospital,Japan
3054,Japanese Red Cross Nagoya First Hospital,Japan
3056,Tokyo Koseinenkin Hospital,Japan
3060,Nagano Red Cross Hospital,Japan
3073,Itami City Hospital,Japan
3079,Sakai Municipal Hospital,Japan
3085,Hokuto Hospital,Japan
3104,Toyama Prefectural Central Hospital,Japan
3117,Kure National Hospital National Hospital Organization,Japan
3143,Nerima General Hospital,Japan
3143,Hoshi General Hospital Foundation,Japan
3153,Ageo Central General Hospital,Japan
3167,National Hospital Organization Osaka Minami Medical Center,Japan
3169,Iwakuni Clinicl Center,Japan
3196,Kyoto Second Red Cross Hospital,Japan
3223,Yao Municipal Hospital,Japan
3235,Kyushu Kousei Nenkin Hospital,Japan
3254,Shimada Municipal Hospital,Japan
3267,Daiyu Meeting Hospital V,Japan
3275,National Kyushu Cancer Center,Japan
3316,Yamagata City Hospital Saiseikan,Japan
3325,Tsuchiura Kyodo General Hospital,Japan
3325,Tohoku Rosai Hospital,Japan
3338,Bishinkai Medical Corporation,Japan
3340,Nikko Kinen Hospital,Japan
3361,Nippon Kokan K.K Hospital,Japan
3378,Tsukuba Central Hospital,Japan
3382,Saiseikai Shigaken Hospital,Japan
3383,Japan Municipal Hospital Association,Japan
3397,Chubu Rosai Hospital,Japan
3402,Hyogo Prefectural Amagasaki Hospital,Japan
3431,Keiyu Hospital Yokohama,Japan
3484,Tokyo Metropolitan Police Hospital,Japan
3488,Daido Hospital,Japan
3497,Kobe Kaisei Hospital,Japan
3530,Yokohama South Mutual Aid Hospital Yokohama Minami Kyousai Hospital,Japan
3535,Yamatokai Health System,Japan
3540,Ito Hospital,Japan
3540,Kagoshima City Hospital,Japan
3544,Higashi Omiya General Hospital,Japan
3579,Jusendo Hospital,Japan
3580,Metropolitan Bokutoh Hospital,Japan
3582,Heart Life Hospital Institute,Japan
3593,Mitoyo General Hospital,Japan
3611,Nishi Kobe Medical Center,Japan
3611,Tokyo United Hospital International,Japan
3623,Sendai Kousei Hospital,Japan
3631,Mazda Hospital,Japan
3660,Nagano National Hospital,Japan
3670,Tachikawa Medical Center,Japan
3670,Yamagata Prefectural Central Hospital,Japan
3695,Ichinomiya Municipal Hospital,Japan
3705,Yoka Hospital,Japan
3715,Kyosai Tachikawa Hospital,Japan
3745,Nakagami General Hospital,Japan
3745,Saiseikai Yokohama Hospital for Southem District,Japan
3754,Okayama Rosai Hospital,Japan
3754,Urazoe General Hospital,Japan
3767,Kurashiki Heisei Hospital of Neurosurgery,Japan
3767,Social Insurance Central General Hospital,Japan
3772,Sapporo Ota Hospital,Japan
3772,Fujieda Municipal General Hospital,Japan
3789,Ogikubo Hospital,Japan
3797,Omihachiman Municipal Medical Center,Japan
3807,Kikuna Memorial Hospital,Japan
3812,Minamiaoyama Eye Clinic,Japan
3814,Takatsuki Red Cross Hospital,Japan
3814,Haransanshin Hospital,Japan
3819,Medical Corporation Teishinkai,Japan
3835,Wakakusa Daiichi Hospital,Japan
3842,Hokkaido Kin Ikyo Chuo Hospital,Japan
3852,Yamaguchi Grand Medical Center,Japan
3852,Showa General Hospital,Japan
3855,Kitami Red Cross Hospital,Japan
3873,Minami Okayama Medical Center National Hospital Organization,Japan
3881,Nagoya Memorial Hospital Nagoya Commemoration Hospital,Japan
3904,Inouye Eye Hospital,Japan
3911,Ohkubo Hospital Tokyo Metropolitan Health and Medical Treatment Corporation,Japan
3946,CVI The Cardiovascular Institute,Japan
3991,Iwa Medical Foundation,Japan
3991,Chubu Tokushukai Hospital,Japan
4001,Fukuoka Red Cross Hospital,Japan
4010,Omichi Kai Group,Japan
4018,Hiroshima General Hospital,Japan
4024,Kusatsu General Hospital,Japan
4033,Saiseikai Fukuoka General Hospital,Japan
4039,Ina Central Hospital,Japan
4039,Tsuchiya General Hospital,Japan
4044,Nagaoka Red Cross Hospital,Japan
4044,Tokuyama Central Hospital,Japan
4066,Nishinokyo Hospital,Japan
4108,Loyal Wan Towm Medical Group,Japan
4126,Kashiwa General Hospital,Japan
4145,Sumitomo Hospital,Japan
4157,National Hospital Organization Yokohama Center,Japan
4157,Akita Red Cross Hospital,Japan
4165,Hiratsuka Kyosai Hospital,Japan
4181,Matsushima Hospital,Japan
4198,Fujimoto Hayasuzu Hospital,Japan
4204,Nissay Hospital,Japan
4210,Okazaki City Hospital,Japan
4214,Japanese Red Cross Sendai Hospital,Japan
4214,Saiseikai Senri Hospital,Japan
4220,Sasebo City General Hospital,Japan
4220,Mizushima Kyodo Hospital,Japan
4244,Nanpu Hospital,Japan
4264,General Aidu Chuo Hospital,Japan
4287,Asaka Hospital,Japan
4297,Kenporen Osaka Central Hospital,Japan
4320,Suwa Central Hospital,Japan
4342,Yokohama Shin Midori General Hospital,Japan
4346,Toyama Red Cross Hospital,Japan
4349,Shonai Amarume Hospital,Japan
4349,Ohara General Hospital,Japan
4349,Kosaka Womens Hospital,Japan
4349,Ekisaikai Hospital Nagoya,Japan
4363,Hiroshima Nishi Medical Center,Japan
4383,Hamamatsuh Rosai Hospital,Japan
4391,Nakano General Hospital,Japan
4398,Ako Central Hospital,Japan
4413,Shimizu Hospital,Japan
4447,Kobe Medical Center National Hospital Organization,Japan
4447,Ome Municipal General Hospital,Japan
4455,China Central Medical Center,Japan
4458,Saitama Red Cross Hospital,Japan
4472,Uresino Medical Center National Hospital Organization,Japan
4472,Tottori Municipal Hospital,Japan
4476,Foundation Three Friend Hall Hospital,Japan
4490,Hamanomachi Hospital,Japan
4501,Fukuda Hospital,Japan
4534,Zenjinkai Group,Japan
4569,Ohno Memorial Hospital,Japan
4591,Komenoyama Hospital,Japan
4591,Heartful Group Shimada Hospital,Japan
4600,Matsuyama Shimin Hospital,Japan
4616,Kawasaki Hospital of Kobe,Japan
4616,Saiseikai Utsunomiya Hospital,Japan
4648,Ashikaga Red Cross Hospital,Japan
4653,Koshigaya Municipal Hospital,Japan
4656,Higashihiroshima Medical Center National Hospital Organization,Japan
4656,Hyogo Prefectural Nishinomiya Hospital,Japan
4662,Nagasaki Atomic Bomb Hospital,Japan
4662,Tokyo Rinkai Hospital,Japan
4673,Omiya Hospital / Medical Corporation Hakujinkai,Japan
4680,Niizashiki Chuo General Hospital,Japan
4698,Mito Saiseikai General Hospital,Japan
4703,Saga Medical School Hospital,Japan
4708,Nakamura Memorial Hospital,Japan
4714,Tokai Central Hospital,Japan
4714,Sapporo Keiyukai Hospital,Japan
4720,Kaikou Medical Center,Japan
4720,Nho Saigata National Hospital,Japan
4744,Sendai Open Hospital Foundation Sendai City Medical Center Sendai,Japan
4753,Nissan Tamagawa Hospital,Japan
4762,Okamura Isshindow Hospital,Japan
4778,Kagoshima Medical Center National Hospital Organization,Japan
4778,Nagahama Red Cross Hospital,Japan
4778,Takayama Red Cross Hospital,Japan
4793,Kobari General Hospital,Japan
4813,Nagaoka Chuo General Hospital,Japan
4851,Hakodate General Central Hospital.,Japan
4855,Kumamoto Functional Hospital,Japan
4855,Kyushu Central Hospital,Japan
4874,Hiraka General Hospital,Japan
4875,Oita Prefectural Hospital,Japan
4888,Asagiri Hospital,Japan
4888,Takagi Hospital Group,Japan
4898,Yao Tokushukai General Hospital,Japan
4898,Kinugasa Hospital,Japan
4908,Ofuna Chuo Hospital,Japan
4908,Oita Oka Hospital,Japan
4919,Obara Hospital Tokyo,Japan
4925,Jikeikai Medical School Shinsuma Hospital,Japan
4925,Ashiya Municipal Hospital,Japan
4937,Mie Chuou Medical Center,Japan
4960,International Catholic Hospital,Japan
4982,Eiju General Hospital,Japan
4990,Yonago Medical Center National Hospital Organization,Japan
4996,Beppu Medical Center,Japan
5001,Hopital Kyowa,Japan
5005,Kiryu Kosei General Hospital,Japan
5016,Haradoi Hospital,Japan
5026,Institute of Brain and Blood Vessels Mihara Memorial Hospital,Japan
5031,Niigata Rosai Hospital,Japan
5033,Kokura National Hospital,Japan
5044,Nippon Steel Yawata Memorial Hospital,Japan
5058,Ogaki Municipal Hospital,Japan
5064,Seinan Medical Center Hospital,Japan
5069,Hakodate Public Welfare Institute Hakodate Koseiin Hospitals,Japan
5073,Yuai Memorial Hospital,Japan
5096,Amagasaki Central Hospital,Japan
5098,Kasai City Hospital,Japan
5115,Misatokenwa Hospital,Japan
5115,Miyagi National Hospital National Hospital Organization,Japan
5124,Karatsu Red Cross Hospital,Japan
5128,Research Institute for Brain and Blood Vesseis Akita,Japan
5138,Japanese Baptist Hospital,Japan
5148,Kinki National Hospital National Hospital Organization,Japan
5157,Toyokawa City Hospital,Japan
5161,Asakayama General Hospital,Japan
5167,Soka Municipal Hospital,Japan
5167,Nippon Steel Hirohata Hospital,Japan
5200,Okatani Medical Foundation,Japan
5205,Tonan Hospital,Japan
5209,Nagano Matsushiro General Hospital,Japan
5213,Hannan Chuo Hospital,Japan
5226,Chidoribashi Hospital,Japan
5237,Sapporo Higashi Tokushukai,Japan
5265,Junwakai Memorial Hospital,Japan
5293,Medical Shimada Hospital,Japan
5307,Yachiyo Hospital,Japan
5311,Towakai Medicals,Japan
5311,Ehime National Hospital National Hospital Organization,Japan
5333,Yamanashi Kosei Hospital,Japan
5346,Nara City Hospital,Japan
5367,Tokeidai Memorial Hospital,Japan
5393,Inoue Hospital Nagasaki Prefecture,Japan
5397,Niigata Prefecture Welfare Federation of Agricultural Cooperatives Hospital,Japan
5397,Mito Red Cross Hospital,Japan
5427,Aiseikai,Japan
5427,Fuji Hospital,Japan
5444,Miyoshi Central Hospital,Japan
5459,Yuri General Hospital,Japan
5482,Otemae Hospital,Japan
5501,Naruo Orthopedic Hospital,Japan
5524,Kiwa Hospital,Japan
5527,Maki Healthcare Group,Japan
5531,Mitsubishi Kyoto Hospital,Japan
5538,Sasebo Kyosai Hospital,Japan
5545,Noguchi Thyroid Clinic and Hospital Foundation,Japan
5553,Maki Rice Field General Hospital,Japan
5557,Cardio Vascular Center Hokkaido Ohno Hospital,Japan
5575,Okinawa Hospital,Japan
5579,Ajisu Kyoritsu Hospital,Japan
5597,Social Insurance Kyoto Hospital,Japan
5607,Kushiro Cranial Nerve Surgical Hospital,Japan
5611,Kumamoto Chuo Hospital,Japan
5638,National Fukuoka Higashi Medical Center,Japan
5643,Niigata Rinko Hospital,Japan
5653,Fukushima Red Cross Hospital,Japan
5653,Fukushima First Hospital,Japan
5671,Osaka Railway Hospital,Japan
5682,Yamaguchi Rosai Hospital,Japan
5682,Shuto General Hospital,Japan
5693,Ohda Municipal Hospital,Japan
5704,Yamato Tukushukai Hospital,Japan
5719,Toranomon Orthopedics Hospital,Japan
5725,Tuboi Hospital,Japan
5740,Kobe Adventist Hospital,Japan
5754,Miyata Eye Hospital,Japan
5767,Yamaguchi-ken Saiseikai Shimonoseki General Hospital,Japan
5775,Fukuoka Kinen Hospital,Japan
5814,Yokohama General Hospital,Japan
5820,Ogori Daiichi General Hospital,Japan
5856,Sada Hospital,Japan
5856,Nisinomiya Watanabe Hospital,Japan
5859,Yokohama Sakae Kyosai Hospital,Japan
5863,Okaya Hospital,Japan
5868,Motobu Noge Hospital,Japan
5898,Takanohara Central Hospital,Japan
5898,Sapporo Hokuyu Hospital Institute for Artificial Organs Transplantation and Gene Therapy,Japan
5898,Shinsapporo Neurosurgical Hospital,Japan
5911,Keiyu Hospital Tokyo,Japan
5915,Oota Memorial Hospital,Japan
5915,Inoue Hospital Soryukai Medical Corporation,Japan
5928,Munakata Suikokai General Hospital,Japan
5938,Fukushima National Hospital,Japan
5942,Hokkaido Junkanki Hospital,Japan
5945,Takarazuka Daiichi Hospital,Japan
5950,Nomura Hospital,Japan
5953,Saiseikai Hita Hospital,Japan
5956,Ideta Ophthalmology Hospital,Japan
5966,Iida Hospital,Japan
5983,Seeing [Wa] Stand General Hospital,Japan
6023,Kashiwa City Hospital,Japan
6036,Akaeda Hospital,Japan
6036,Oita Nakamura Hospital,Japan
6051,Shizunai Hospital,Japan
6059,Keishinkai Kyoto Takeda Hospital,Japan
6059,Japanese Society of General Hospital Psychiatry,Japan
6065,Kyoritsunarasinodai Hospital,Japan
6070,Moriyama Group,Japan
6085,Kanagawa Saiseikai Hospital,Japan
6087,Biwako Hospital,Japan
6087,Murayama National Hospital,Japan
6094,Kosei General Hospital,Japan
6108,Chugoku-Shikoku National Hospital,Japan
6149,Seiwa Kai Hospital / Seiwa Chairman Rice Field Hospital,Japan
6155,Kuma Hospital,Japan
6155,Tohoku Kouseinenkin General Hospital,Japan
6195,Kyouwa Chuo Hospital,Japan
6227,Shiroyama Hospital,Japan
6227,Morioka Yuuai Hospital,Japan
6227,Josuikai Imamura Hospital L,Japan
6239,Sassa General Hospital,Japan
6277,Kimitsu Chuou Hospital,Japan
6293,Nishifukuoka Hospital,Japan
6296,Kousei Hospital,Japan
6342,Sendai Hospital,Japan
6351,Saitama Seikeikai Hospital,Japan
6365,Social Insurance Tagawa Hospital,Japan
6374,Nakano Kyoritsu Hospital,Japan
6374,Palmore Hospital,Japan
6374,Sato Hospital of Takasaki,Japan
6392,Fukuoka Harmony White Hospital Fukuoka Wajiro Hospital,Japan
6414,Kobe 100Years Memorial Hospital,Japan
6414,City Clinic,Japan
6426,Kawasima Aikawa Island Hospital,Japan
6426,Ichihara Hospital,Japan
6444,Nanto Municipal Hospital,Japan
6447,Nippon Kokan Fukuyama Hospital,Japan
6459,Sanai Hospital,Japan
6487,Ehime Rosai Hospital,Japan
6498,Maruyama Hospital,Japan
6503,St Hill Hospital,Japan
6505,Sano Hospital,Japan
6515,Aikawa Village Hospital,Japan
6517,Koyukai Medical Corporation Nishinomiya Cooperation Stand Cranial Nerve Surgical Hospital,Japan
6524,Miyake Medical Institute Group,Japan
6533,Minami Tohoku Hospital,Japan
6540,Stb Foundation Saintly [Barunaba] Hospital/Obstetrics Gynecology Pediatrics,Japan
6540,Kobe Ekisaikai Hospital,Japan
6540,Nishi Eye Hospital,Japan
6551,Tsuruta Hospital,Japan
6564,Suiseika Kajikawa Hospital Rudder River Hospital,Japan
6582,Miyazaki Prefectural Nobeoka Hospital,Japan
6611,Tohokukai Mental Hospital,Japan
6611,Hino Memorial Hospital,Japan
6627,Higashi Sapporo Hospital,Japan
6654,Ochiai Hospital,Japan
6659,Inagi Municipal Hospital,Japan
6659,Wakayama National Hospital,Japan
6665,Corporation Jikei Meeting,Japan
6672,Nagasaki Saiseikai Hospital,Japan
6684,Houetsu Hospital,Japan
6687,Asakusa Hospital,Japan
6691,Ryusoh Orthopedic Hospital,Japan
6696,Sapporo Kohsetsu Hospital,Japan
6701,Tominaga Hospital,Japan
6714,Omi Kusatsu Hospital,Japan
6722,Tamahiyoshidai Hospital,Japan
6745,Kobatake Hospital,Japan
6752,Toyama Medical and Pharmaceutical University,Japan
6761,Itoigawa Sogo Hospital,Japan
6761,Tokyo Musashino Hospital,Japan
6785,Heartland Shigisan Shigisan Hospital Group,Japan
6792,Mihara Red Cross Hospital,Japan
6825,Crane Valley Hospital,Japan
6825,Shizuoka City Shimizu Hospital,Japan
6850,Hachinohe Red Cross Hospital,Japan
6881,Eikoh Hospital,Japan
6881,Hidaka General Hospital,Japan
6892,Takarazuka Hospital,Japan
6918,Midorigaoka Hospital Takatsuki Osaka Town,Japan
6933,Koseikai Hospital,Japan
6944,Showa Hospital Akanekai,Japan
6962,Mito Central Hospital,Japan
6969,Kohno Clinical Medicine Research Institute,Japan
6985,Oita Red Cross Hospital,Japan
6985,Public Shiso General Hospital,Japan
7010,Ogasawara Clinic Sapporo Hospital,Japan
7010,Rokujukai Medical Corporation,Japan
7019,Hakuyukai Group,Japan
7025,Kan Etsu Chu Oh Hospital,Japan
7031,Kawachi General Hospital,Japan
7043,Eijukai Hospital,Japan
7051,Inokuchi Hospital Inokuchi Medical Center Higashi Hiroshima,Japan
7053,Nara East Hospital Fureai No Sato,Japan
7053,Hospital Chemotherapy Institute for Chemical Research Hospital,Japan
7064,Shin Kokura Hospital,Japan
7070,Yufuin Kohseinenkin Hospital,Japan
